# NZ6 dispatch trace (NOVAZ_SMOKE_TRACE_NZ6)
# regenerate: make -C examples/novaz capture-z6-trace PROJECT=zork-zero
# nz6_entry=$2002 zvm_erase_line=$E6DF zvm_set_text_style=$E32F zvm_buffer_mode=$E386
# <seq> <id> <opname> count=<n> ops=<op0>,<op1>,<op2>,<op3>  (ops hex; id '--' = ROM-side hook)
264 38 push_stack count=2 ops=0027,696C,0004,0000
265 38 push_stack count=2 ops=963D,69C0,BAF1,0000
266 38 push_stack count=2 ops=002C,696C,BAF1,0000
267 07 pull count=1 ops=696C,696C,7D62,7D50
268 07 pull count=0 ops=0000,0000,7D62,7D50
269 38 push_stack count=2 ops=002C,696C,7D62,7D50
270 38 push_stack count=2 ops=0001,69C0,BB2D,0000
271 07 pull count=1 ops=696C,696C,BB2D,0000
272 07 pull count=0 ops=0000,0000,BB2D,0000
273 38 push_stack count=2 ops=002C,696C,BB2D,0000
274 38 push_stack count=2 ops=002D,696C,0004,0000
275 07 pull count=1 ops=696C,696C,0004,0000
276 07 pull count=0 ops=0000,0000,0004,0000
277 38 push_stack count=2 ops=002D,696C,0004,0000
278 35 pop_stack count=2 ops=0003,696C,BB3E,0000
279 07 pull count=1 ops=69C0,0002,BB3E,0000
280 07 pull count=1 ops=69C0,0002,BB3E,0000
281 07 pull count=1 ops=69C0,0002,BB3E,0000
282 38 push_stack count=2 ops=0001,69C0,69EC,0000
283 07 pull count=1 ops=696C,696C,69EC,0000
284 07 pull count=0 ops=0000,0000,69EC,0000
285 38 push_stack count=2 ops=0007,696C,69EC,0000
286 38 push_stack count=2 ops=0026,696C,0005,0000
287 07 pull count=1 ops=696C,696C,0005,0000
288 07 pull count=0 ops=0000,0000,0005,0000
289 38 push_stack count=2 ops=0026,696C,0005,0000
290 38 push_stack count=2 ops=0001,69C0,BADC,0000
291 07 pull count=1 ops=696C,696C,BADC,0000
292 07 pull count=0 ops=0000,0000,BADC,0000
293 38 push_stack count=2 ops=0026,696C,BADC,0000
294 38 push_stack count=2 ops=002E,696C,0006,0000
295 07 pull count=1 ops=696C,696C,0006,0000
296 07 pull count=0 ops=0000,0000,0006,0000
297 38 push_stack count=2 ops=002E,696C,0006,0000
298 35 pop_stack count=2 ops=0002,696C,BB48,0000
299 07 pull count=1 ops=69C0,0002,BB48,0000
300 07 pull count=1 ops=69C0,0002,BB48,0000
301 38 push_stack count=2 ops=0001,69C0,0007,0084
302 07 pull count=1 ops=696C,696C,0007,0084
303 07 pull count=0 ops=0000,0000,0007,0084
304 38 push_stack count=2 ops=0007,696C,0007,0084
305 38 push_stack count=2 ops=0028,696C,0003,0084
306 07 pull count=1 ops=696C,696C,0003,0084
307 07 pull count=0 ops=0000,0000,0003,0084
308 38 push_stack count=2 ops=0028,696C,0003,0084
309 38 push_stack count=2 ops=0001,69C0,BAFB,0000
310 07 pull count=1 ops=696C,696C,BAFB,0000
311 07 pull count=0 ops=0000,0000,BAFB,0000
312 38 push_stack count=2 ops=0028,696C,BAFB,0000
313 38 push_stack count=2 ops=002B,696C,0004,0000
314 07 pull count=1 ops=696C,696C,0004,0000
315 07 pull count=0 ops=0000,0000,0004,0000
316 38 push_stack count=2 ops=002B,696C,0004,0000
317 35 pop_stack count=2 ops=0003,696C,BB20,0000
318 07 pull count=1 ops=69C0,0003,BB20,0000
319 35 pop_stack count=2 ops=0002,69C0,BB20,0000
320 38 push_stack count=2 ops=6DA9,69C0,BB20,0000
321 07 pull count=1 ops=696C,696C,BB20,0000
322 07 pull count=0 ops=0000,0000,BB20,0000
323 38 push_stack count=2 ops=0001,696C,BB20,0000
324 38 push_stack count=2 ops=0008,696C,0001,0000
325 07 pull count=1 ops=696C,696C,0001,0000
326 07 pull count=0 ops=0000,0000,0001,0000
